epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3613,1.36263,1.79778,1.44297,0.80084,0.42977,0.48058,0.29875,1.32103,1.53279,1.40267,0.000664979,0.000664979,0.000664979
2,60.143,1.35182,1.51091,1.44795,0.65649,0.38623,0.40521,0.23316,1.48426,1.78852,1.52705,0.00131846,0.00131846,0.00131846
3,89.7053,1.32896,1.46286,1.45167,0.78617,0.42081,0.47141,0.2979,1.30415,1.45517,1.4478,0.00195875,0.00195875,0.00195875
4,119.201,1.30116,1.42354,1.44093,0.82291,0.44509,0.4967,0.32728,1.25515,1.29401,1.39298,0.0019406,0.0019406,0.0019406
5,147.44,1.26968,1.38647,1.42163,0.8062,0.42207,0.46928,0.27937,1.39374,1.34184,1.54482,0.0019208,0.0019208,0.0019208
6,176.399,1.24217,1.34736,1.40603,0.84378,0.42458,0.48442,0.29696,1.29578,1.31424,1.45145,0.001901,0.001901,0.001901
7,206.171,1.22666,1.31423,1.39353,0.86589,0.45421,0.51341,0.34811,1.19971,1.21939,1.35214,0.0018812,0.0018812,0.0018812
8,236.179,1.20483,1.28753,1.3816,0.87614,0.45298,0.51056,0.34536,1.1865,1.24566,1.35025,0.0018614,0.0018614,0.0018614
9,265.838,1.18384,1.27416,1.37219,0.85827,0.47066,0.52182,0.35635,1.17636,1.16777,1.34415,0.0018416,0.0018416,0.0018416
10,294.602,1.1922,1.28534,1.37961,0.88657,0.45777,0.52403,0.35986,1.17936,1.14019,1.33194,0.0018218,0.0018218,0.0018218
11,322.27,1.16606,1.24651,1.35893,0.89645,0.46665,0.52405,0.36237,1.14601,1.14713,1.31739,0.001802,0.001802,0.001802
12,350.438,1.1609,1.24354,1.35452,0.89506,0.46217,0.52504,0.36272,1.15465,1.13858,1.30011,0.0017822,0.0017822,0.0017822
13,378.3,1.14998,1.22422,1.35014,0.87672,0.45298,0.51114,0.34044,1.17491,1.17706,1.38419,0.0017624,0.0017624,0.0017624
14,405.162,1.14528,1.20842,1.34597,0.88019,0.45883,0.52605,0.35971,1.15244,1.10923,1.34068,0.0017426,0.0017426,0.0017426
15,432.174,1.14092,1.21099,1.34801,0.8538,0.46522,0.52157,0.35864,1.15566,1.13235,1.35095,0.0017228,0.0017228,0.0017228
16,459.159,1.13177,1.20723,1.34121,0.8841,0.45754,0.51619,0.35674,1.15403,1.13976,1.35059,0.001703,0.001703,0.001703
17,486.042,1.1204,1.18614,1.3348,0.88211,0.46712,0.52968,0.37261,1.11244,1.08121,1.30906,0.0016832,0.0016832,0.0016832
18,513.223,1.1244,1.19453,1.337,0.90134,0.4696,0.5316,0.37035,1.11318,1.09977,1.30308,0.0016634,0.0016634,0.0016634
19,540.063,1.11247,1.18036,1.33519,0.89884,0.4683,0.53208,0.37592,1.08795,1.08719,1.29846,0.0016436,0.0016436,0.0016436
20,566.871,1.1079,1.16554,1.3297,0.88596,0.46618,0.52953,0.36487,1.1255,1.06546,1.33884,0.0016238,0.0016238,0.0016238
21,594.616,1.11309,1.17603,1.33127,0.90411,0.46677,0.53106,0.37484,1.09602,1.07036,1.29802,0.001604,0.001604,0.001604
22,621.251,1.10437,1.15855,1.32367,0.8867,0.465,0.52339,0.34976,1.15268,1.10142,1.37502,0.0015842,0.0015842,0.0015842
23,647.973,1.09971,1.17133,1.33031,0.89065,0.46854,0.53158,0.36926,1.11762,1.05906,1.32865,0.0015644,0.0015644,0.0015644
24,675.607,1.0982,1.15255,1.3213,0.91088,0.47525,0.53762,0.38319,1.07671,1.0334,1.26961,0.0015446,0.0015446,0.0015446
25,702.675,1.08828,1.14304,1.31622,0.89523,0.46877,0.53088,0.37194,1.08988,1.07108,1.31865,0.0015248,0.0015248,0.0015248
26,729.845,1.08092,1.14186,1.31899,0.90416,0.47249,0.53577,0.37651,1.09667,1.05713,1.30988,0.001505,0.001505,0.001505
27,756.918,1.08741,1.14599,1.31986,0.91009,0.47089,0.53798,0.38539,1.06322,1.02962,1.27715,0.0014852,0.0014852,0.0014852
28,783.881,1.07437,1.1128,1.309,0.90495,0.47219,0.53804,0.38745,1.05621,1.01921,1.2715,0.0014654,0.0014654,0.0014654
29,810.917,1.07319,1.11673,1.30842,0.91327,0.47207,0.53761,0.38684,1.05675,1.02633,1.27242,0.0014456,0.0014456,0.0014456
30,837.662,1.07537,1.13055,1.3143,0.91474,0.47408,0.54084,0.3854,1.0696,1.03617,1.27609,0.0014258,0.0014258,0.0014258
31,864.469,1.06893,1.11855,1.30856,0.91234,0.47879,0.54263,0.38952,1.05597,0.99929,1.27056,0.001406,0.001406,0.001406
32,891.365,1.07245,1.11506,1.31067,0.90419,0.47597,0.5378,0.38479,1.06238,1.02845,1.28182,0.0013862,0.0013862,0.0013862
33,918.143,1.06931,1.11546,1.30577,0.90998,0.47702,0.54064,0.39064,1.04944,0.99946,1.26593,0.0013664,0.0013664,0.0013664
34,944.936,1.05915,1.09337,1.29797,0.90878,0.46971,0.5374,0.38644,1.05297,1.00637,1.27168,0.0013466,0.0013466,0.0013466
35,971.852,1.05591,1.10372,1.29672,0.90609,0.47714,0.54087,0.38945,1.05269,0.99351,1.27332,0.0013268,0.0013268,0.0013268
36,998.743,1.05503,1.09484,1.29458,0.91088,0.47576,0.54064,0.38688,1.06459,0.99743,1.27969,0.001307,0.001307,0.001307
37,1026.43,1.04805,1.09745,1.29296,0.89944,0.47997,0.54373,0.38986,1.05339,0.99213,1.26089,0.0012872,0.0012872,0.0012872
38,1053.51,1.06056,1.10624,1.29932,0.91042,0.47596,0.54132,0.38855,1.05255,0.99604,1.28008,0.0012674,0.0012674,0.0012674
39,1080.57,1.05003,1.09464,1.29781,0.90291,0.47443,0.5428,0.3887,1.05799,0.99014,1.29118,0.0012476,0.0012476,0.0012476
40,1107.84,1.0455,1.08382,1.29388,0.90743,0.47478,0.5438,0.39176,1.05241,0.97686,1.27373,0.0012278,0.0012278,0.0012278
41,1134.97,1.04731,1.09408,1.29742,0.91245,0.47528,0.54203,0.39097,1.03997,0.98018,1.27162,0.001208,0.001208,0.001208
42,1161.81,1.03834,1.0736,1.28722,0.90536,0.47938,0.54507,0.39581,1.03343,0.96385,1.25386,0.0011882,0.0011882,0.0011882
43,1188.62,1.03651,1.07212,1.28777,0.90688,0.47867,0.54458,0.39333,1.03809,0.96773,1.27071,0.0011684,0.0011684,0.0011684
44,1215.43,1.03408,1.07543,1.29081,0.90691,0.4749,0.53705,0.38227,1.05449,0.99609,1.29044,0.0011486,0.0011486,0.0011486
45,1242.32,1.0357,1.06544,1.28486,0.9227,0.47796,0.54789,0.39645,1.03214,0.9929,1.25809,0.0011288,0.0011288,0.0011288
46,1269.07,1.03216,1.06149,1.28175,0.9176,0.47407,0.54454,0.39882,1.01293,0.96316,1.24378,0.001109,0.001109,0.001109
47,1295.81,1.02679,1.05467,1.27771,0.90623,0.48091,0.54584,0.39642,1.0204,0.95314,1.25876,0.0010892,0.0010892,0.0010892
48,1322.57,1.02766,1.06135,1.28292,0.91604,0.4782,0.54597,0.39703,1.02036,0.94553,1.24478,0.0010694,0.0010694,0.0010694
49,1350.43,1.02777,1.06397,1.27698,0.92101,0.47679,0.54593,0.39797,1.02338,0.94348,1.24632,0.0010496,0.0010496,0.0010496
50,1379.21,1.02219,1.04633,1.27737,0.91966,0.47938,0.54891,0.40245,1.01469,0.93788,1.24293,0.0010298,0.0010298,0.0010298
51,1407.92,1.02156,1.05199,1.28022,0.92548,0.4771,0.54563,0.40148,1.00492,0.94844,1.24304,0.00101,0.00101,0.00101
